Date, Close/Last, Volume, Open, High, Low
05/26/2020, $53.91, 5098194, $55.01, $55.05, $53.85
05/22/2020, $52.68, 8033306, $53.407, $53.46, $52.4
05/21/2020, $55.15, 5413162, $55.02, $55.46, $54.71
05/20/2020, $56.62, 5423752, $57, $57.4, $56.0335
05/19/2020, $55.4, 3537381, $55.68, $56, $55.365
05/18/2020, $55.7, 3471417, $55.11, $55.95, $54.81
05/15/2020, $54.01, 4853910, $53.85, $54.18, $53.6
05/14/2020, $56, 6025736, $55.2, $56.08, $54.66
05/13/2020, $57.83, 9222750, $57.835, $58.66, $57.16
05/12/2020, $55.35, 4110220, $56.3, $56.5, $55.27
05/11/2020, $55.955, 4730168, $55.501, $56, $55.4
05/08/2020, $54.57, 5009835, $54.01, $54.65, $53.76
05/07/2020, $52.75, 2647090, $52.5, $52.865, $52.38
05/06/2020, $52.56, 2884788, $52.75, $52.88, $52.45
05/05/2020, $52.17, 2652967, $52.2, $52.48, $52.11
05/04/2020, $51.57, 2443557, $51.1, $51.69, $50.9
05/01/2020, $51.05, 5652966, $51.49, $51.54, $50.91
04/30/2020, $52.62, 3097779, $53.74, $53.97, $52.35
04/29/2020, $54.05, 1942368, $54.08, $54.17, $53.75
04/28/2020, $53.44, 2918124, $54.01, $54.2, $53.3
04/27/2020, $53.3, 1963651, $53.32, $53.46, $53.06
04/24/2020, $52.85, 1635606, $52.66, $52.95, $52.45
04/23/2020, $52.46, 2240606, $53.09, $53.4, $52.45
04/22/2020, $52.86, 2719943, $52.9, $53.02, $52.69
04/21/2020, $51.07, 2480395, $51.25, $51.69, $51.01
04/20/2020, $52.46, 2532229, $52.55, $53.08, $52.2
04/17/2020, $52.35, 3703905, $53, $53.02, $52.23
04/16/2020, $53.11, 5469760, $52.5, $53.33, $52.5
04/15/2020, $50.96, 2991082, $50.5, $51.2, $50.27
04/14/2020, $51.45, 3212636, $50.88, $51.5, $50.82
04/13/2020, $49.8, 3764533, $49.86, $49.87, $49
04/09/2020, $49.47, 4217784, $50.4, $50.61, $49.37
04/08/2020, $50.15, 3214269, $49.59, $50.24, $49.4
04/07/2020, $49.47, 3282512, $50.62, $50.65, $49.18
04/06/2020, $49.94, 2822308, $49.48, $49.96, $49.03
04/03/2020, $47.81, 2865156, $48.62, $48.9, $47.55
04/02/2020, $48.82, 3199545, $48.19, $49.03, $48
04/01/2020, $47.06, 4189180, $48.013, $48.47, $46.98
03/31/2020, $49.09, 2589959, $48.5, $49.53, $48.5
03/30/2020, $49.64, 3769020, $49, $49.65, $48.65
03/27/2020, $48.55, 3762177, $48.45, $49.36, $48.2
03/26/2020, $51.1, 7463408, $50.1, $51.2, $49.95
03/25/2020, $49.25, 5177229, $48.94, $50.1, $48.59
03/24/2020, $48.42, 11939460, $47.82, $48.49, $45.91
